from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
1167;1680;439;120.0;170;3:170
1517;3144;382;91.54639175257732;194;2:194
1518;3253;443;65.74468085106383;188;2:188
1775;1347;434;118.73684210526316;285;1:285
1775;2111;398;120.0;274;1:274
1777;1936;430;106.75324675324676;231;4:231
1778;1524;286;60.0;231;4:231
1779;1850;549;102.10526315789474;285;1:285
1779;2063;664;120.0;274;1:274
2548;2364;639;86.62116040955631;293;1:293
2548;1220;286;60.0;263;1:263
2807;2338;599;60.0;188;2:188
2260;1343;362;60.0;225;4:225
1787;3457;579;85.76470588235294;170;3:170
1787;1679;230;60.0;169;2:3,3:166
2261;1750;494;60.0;231;4:231
