from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts;route_type
1187;3105;396;60.0;41;29:41;3
1188;1189;51;60.0;128;89:128;3
1189;2216;148;20.526315789473685;38;24:38;3
1189;2518;202;0.0;128;89:128;3
1190;2925;400;107.6923076923077;39;24:39;3
1191;1847;718;97.14285714285714;42;30:42;3
1192;3380;476;70.2439024390244;41;30:41;3
1193;1118;456;60.0;1;60:1;3
1194;3372;370;60.0;2;60:2;3
1195;2977;519;82.10526315789474;57;40:56,59:1;3
1196;1131;355;60.0;57;40:55,86:1,71:1;3
1197;3032;481;60.63157894736842;95;93:94,62:1;3
1198;1655;434;60.0;96;80:1,93:95;3
1198;1815;321;90.0;2;69:1,62:1;3
1199;3032;487;100.0;3;69:3;3
1199;3513;365;62.264150943396224;53;7:53;3
1200;1815;371;60.0;54;7:54;3
1201;3213;411;89.0;60;9:60;3
1202;1682;371;55.932203389830505;59;9:59;3
1203;1545;388;101.6;75;8:75;3
1204;3418;417;68.91891891891892;74;8:74;3
1205;2349;330;60.0;105;49:2,90:103;3
1206;2351;501;80.37735849056604;106;49:2,90:104;3
1207;2871;365;60.0;78;23:78;3
1208;1891;335;62.30769230769231;78;23:78;3
1209;2885;470;116.57142857142857;70;5:70;3
1210;3339;320;97.3913043478261;69;5:69;3
1211;3497;133;13.846153846153847;39;24:39;3
1211;1877;220;8.571428571428571;56;40:56;3
1212;2236;258;45.806451612903224;93;24:38,40:55;3
1213;1706;411;60.0;75;41:75;3
1214;1709;276;60.0;72;41:72;3
1215;3150;394;61.333333333333336;45;35:45;3
1216;1622;312;12.0;45;35:45;3
1217;2901;235;60.0;39;24:39;3
1218;3258;299;46.2992125984252;127;87:127;3
1219;2370;286;60.0;127;87:127;3
1220;2154;495;114.9809885931559;263;1:263;0
1220;2548;286;60.0;293;1:293;0
1222;3392;332;67.16417910447761;67;5:67;3
1223;2985;501;60.0;130;89:130;3
1224;2873;211;57.0;40;24:38,53:2;3
1224;3154;231;57.2093023255814;129;88:129;3
1224;1755;447;60.0;76;8:76;3
1224;1897;161;60.0;38;44:38;3
1225;3476;255;59.785714285714285;280;8:74,24:39,44:39,53:2,88:126;3
1226;1897;131;0.0;61;37:61;3
1227;2270;281;60.0;60;6:60;3
1228;2716;366;53.898305084745765;59;6:59;3
1229;2274;221;14.693877551020408;49;45:49;3
1229;3276;171;0.0;6;20:6;3
1230;2700;256;54.339622641509436;53;20:5,45:48;3
1231;2127;298;180.0;2;68:2;3
1232;2384;394;48.75;32;39:32;3
1233;3486;1032;87.27272727272727;33;39:33;3
1234;2167;205;41.395348837209305;129;80:1,9:59,5:69;3
1235;3447;265;39.69230769230769;130;9:60,5:70;3
1237;2091;539;60.0;1;65:1;3
1238;1547;161;35.51020408163265;49;84:2,22:47;3
1238;3261;246;61.25;48;82:1,28:47;3
1238;2486;382;60.0;56;40:56;3
1239;2820;388;75.55555555555556;108;40:55,84:3,86:1,22:48,71:1;3
1239;2821;400;79.53488372093024;43;28:43;3
1240;2510;562;60.0;53;43:53;3
1241;2061;458;120.0;52;43:52;3
1242;2435;496;109.71428571428571;70;80:1,5:69;3
