stop_I;lat;lon;name
101;-23.65508414;-70.3982234;Veintiuno de Mayo / 14 de febreo
102;-23.65438148;-70.39886713;Veintiuno de Mayo / José Santos Ossa
103;-23.65376726;-70.3991729;José Santos Ossa / 21 de Mayo
104;-23.65282382;-70.39802492;José Santos Ossa / Teniente Luis Uribe
105;-23.65047502;-70.39947331;Teniente Luis Uribe / Almirante Latorre
106;-23.64783133;-70.40202141;Teniente Luis Uribe / Av. José Manuel Balmaceda
107;-23.64708441;-70.40115237;Maipú / Av. José Manuel Balmaceda
108;-23.65001312;-70.39814293;Capitán Carlos Condell / Maipú
109;-23.64960035;-70.39755821;Capitán Carlos Condell / Baquedano
110;-23.64823428;-70.39584696;Capitán Carlos Condell / Sucre
111;-23.64769374;-70.39517641;Capitán Carlos Condell / Simón Bolívar
112;-23.6457478;-70.39275706;Capitán Carlos Condell / Av, Argentina
113;-23.63989014;-70.39103508;Caracoles / Buenos Aires
114;-23.63881882;-70.39073467;Caracoles / Lima
115;-23.63757059;-70.3900212;Pedro de Valdivia / Montevideo
116;-23.63445977;-70.38554728;Chiloé / Quito
117;-23.63126533;-70.38569748;Chiloé / Paraguay
118;-23.61685008;-70.3804028;Card Carlos Oviedo Cavada / Cobija
119;-23.6142991;-70.38011313;Rancagua / Calbuco
120;-23.61279012;-70.38238764;Av. Antonio Rendic / Isabel Riquelme
121;-23.60840071;-70.38009703;Teatinos / Las Condes
122;-23.60628214;-70.38027942;Teatinos / Merced
123;-23.60370147;-70.38088024;Irarrázaval / Bandera
124;-23.59686859;-70.38174391;Bandera / Mateo Toto y Zambrano
125;-23.59602305;-70.38516641;Gran Avenida Radomiro Tomic / Mateo Toro y Zambrano
126;-23.59192313;-70.38901806;Nicolás Tirado
127;-23.59479899;-70.38960278;Pedro Aguirre Cerda / Liparita
128;-23.59698657;-70.38961887;Pedro Aguirre Cerda / Onix
129;-23.59454828;-70.39517641;Azufre / El Oro
130;-23.59193788;-70.39361537;Los Pimientos / Los Almendros
131;-23.58946999;-70.39441466;Del Alto / Los Naranjos
132;-23.58956832;-70.39293945;Los Naranjos / Los Aromos
133;-23.58759693;-70.38993537;Pedro Aguirre Cerda / Juan Bolívar
134;-23.58498147;-70.3901714;Pedro Aguirre Cerda / Los Canelos
135;-23.57804929;-70.39085806;Pedro Aguirre Cerda / Gabriel Silva
136;-23.57248361;-70.39099216;Pedro Aguirre Cerda / Félix García
137;-23.56440262;-70.39095193;Pedro Aguirre Cerda / Av. Oficina Petronila
138;-23.56253166;-70.39717198;Av. Oficina Petronila / Benito Ocampo
139;-23.55971901;-70.39929628;Benito Ocampo / Inacap
140;-23.55460496;-70.3987813;Benito Ocampo / Oficina Anita
141;-23.55291335;-70.39530516;Rica Aventura / Oficina Carmela
142;-23.55145284;-70.39328545;Oficina Francisco Puelma / Oficina Lastenia
143;-23.54132225;-70.39081514;Amatista / Terminal 102
144;-23.55544093;-70.38973153;Oficina Anita / Av. Pedro Aguirre Cerda (Terminal 107)
145;-23.57663331;-70.39015532;Arturo Pérez Canto / Carrizal
146;-23.57636781;-70.38682938;Arturo Pérez Canto / Valle del Encanto
147;-23.56954825;-70.38265049;Huamachuco / Los Nitratos
148;-23.57299495;-70.38003266;General Oscar Bonilla / Mamiña
149;-23.57529598;-70.379861;General Oscar Bonilla / Arturo Pérez Canto
150;-23.57631864;-70.37978053;General Oscar Bonilla / Lontue
151;-23.57996182;-70.3794533;General Oscar Bonilla / María Elena
152;-23.58108769;-70.37935674;General Oscar Bonilla / Julio Montt Salamanca
153;-23.58354099;-70.37915289;General Oscar Bonillan / Ignacio Carrera pinto
154;-23.58894888;-70.37882566;General Oscar Bonilla / Stgo Manuel silva
155;-23.59074327;-70.37882566;Gral Oscar Bonilla / Clodomiro Rozas
156;-23.59702589;-70.37721634;Los Leones / Mateo Toro y Zambrano
157;-23.59912987;-70.37679791;Los Leones / Juvenal Morla
