from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
3216;2985;1292;360.0;8;57:8
3216;2986;2614;840.0;2;57:2
3216;2111;2151;600.0;10;57:10
2985;3216;1292;360.0;8;57:8
2985;2986;1460;480.0;13;57:13
2985;2111;3363;900.0;5;57:5
2986;3216;2614;840.0;2;57:2
2986;2985;1460;540.0;13;57:13
2986;2987;480;240.0;31;57:31
2987;2986;480;240.0;31;57:31
2111;3216;2151;600.0;10;57:10
2111;2985;3363;960.0;5;57:5
