from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
4795;4779;4680;540.0;7;134:7
4795;4782;2897;270.0;4;131:2,139:1,134:1
4795;4783;2895;270.0;28;130:28
4796;4736;2226;181.3953488372093;43;137:2,130:28,131:1,134:12
4797;4793;3869;250.43478260869566;23;133:19,135:4
4797;4773;16045;1260.0;1;135:1
4797;4726;10448;540.0;1;133:1
4799;4786;1737;220.0;3;129:1,132:2
4799;4803;892;78.9873417721519;79;129:76,132:1,137:2
4799;4739;1851;180.0;1;139:1
4800;4746;824;62.4;75;129:75
4800;4740;1849;192.0;5;135:5
4803;4786;863;124.66666666666667;90;145:11,129:76,132:1,137:2
4803;4799;892;120.0;1;139:1
4804;4800;893;65.31645569620254;79;129:75,135:4
4805;4761;5634;447.0;20;136:17,140:3
4805;4827;15318;870.0;2;136:1,140:1
4808;4731;2792;180.0;42;129:42
4809;4776;2300;192.67605633802816;71;129:71
4810;4742;2144;120.0;70;129:70
4811;4761;1760;180.0;4;140:4
4811;4732;4213;240.0;20;136:17,140:3
4811;4734;4128;300.0;8;145:8
4812;4725;1186;240.0;42;129:42
4823;4825;1485;169.28571428571428;28;130:28
4823;4826;1484;120.0;1;131:1
4823;4767;4229;300.0;1;139:1
4824;4826;1489;180.0;2;137:2
4824;4767;4225;282.5806451612903;31;130:29,131:2
4825;4824;1490;180.0;2;131:2
4825;4823;1485;180.0;1;139:1
4826;4824;1489;142.75862068965517;29;130:29
4826;4767;5710;360.0;1;130:1
4827;4764;7954;420.0;1;136:1
4827;4732;3961;245.71428571428572;21;136:16,140:5
4827;4805;15318;1020.0;1;136:1
4828;4762;9716;510.0;4;143:4
4828;4733;3979;240.0;7;143:7
4828;4806;15381;1260.0;1;144:1
4851;4853;1948;180.0;24;134:24
4853;4771;3719;302.5;24;134:24
4854;4852;1942;268.57142857142856;21;134:21
