from_stop_I;to_stop_I;d;d_walk
13;20;609;814
13;21;504;680
13;22;526;730
13;23;608;764
13;24;691;872
13;50;811;987
13;51;800;984
14;449;437;520
14;195;450;647
14;196;417;594
14;197;493;690
14;198;679;924
14;393;565;991
14;15;312;440
14;16;404;437
14;17;276;320
14;18;327;340
14;19;344;533
14;20;351;516
14;21;362;719
14;22;356;769
14;23;544;803
14;24;642;911
14;397;698;769
15;193;636;775
15;194;719;878
15;195;438;438
15;196;363;384
15;197;413;480
15;198;713;714
15;199;826;851
15;393;442;732
15;394;486;783
15;397;400;502
15;16;150;170
15;17;151;273
15;18;106;139
15;19;349;431
15;20;338;414
15;21;587;782
15;22;554;760
15;449;133;253
16;192;850;947
16;193;573;659
16;194;663;752
16;195;587;602
16;196;509;515
16;197;555;612
16;198;862;878
16;199;974;991
16;393;309;581
16;394;339;650
16;17;141;252
16;18;77;106
16;19;292;411
16;20;274;394
16;21;595;761
16;22;551;739
16;23;814;985
16;397;300;416
16;449;93;180
16;191;796;895
17;193;486;772
17;194;570;875
17;195;552;662
17;196;485;609
17;197;544;705
17;198;823;939
17;449;207;338
17;393;328;746
17;394;445;868
17;18;74;156
17;19;199;220
17;20;188;203
17;21;463;571
17;22;423;549
17;23;681;795
17;24;779;887
17;397;440;587
18;193;547;704
18;194;633;807
18;195;539;577
18;196;466;522
18;197;518;619
18;198;813;854
18;199;927;989
18;393;337;661
18;394;408;726
18;19;259;314
18;20;244;297
18;21;536;664
18;22;496;642
18;23;754;888
18;24;852;980
18;449;134;197
18;397;374;445
18;191;759;950
19;192;559;942
19;193;289;704
19;194;375;795
19;195;725;869
19;196;665;815
19;197;730;912
19;449;380;497
19;393;243;678
19;394;463;804
19;20;22;27
19;21;336;356
19;22;284;334
19;23;549;580
19;24;640;672
19;397;553;721
19;191;505;937
20;192;577;963
20;193;303;687
20;194;391;790
20;195;722;852
20;196;660;798
20;197;724;895
20;449;363;480
20;393;227;661
20;394;443;787
20;21;357;377
20;22;305;355
20;23;570;601
20;24;662;693
20;397;532;704
