from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
67;57;519;60.0;96;81:32,93:5,269:59
67;84;251;37.3469387755102;98;81:32,93:5,269:61
68;48;499;61.6;75;17:52,29:16,70:7
68;1402;1009;357.14285714285717;63;91:45,85:15,310:3
68;58;222;24.155844155844157;154;113:46,181:58,7:50
69;73;223;60.0;67;152:67
19;21;603;60.0;38;302:38
19;23;228;60.0;37;302:37
71;83;423;108.24742268041237;97;113:46,7:51
71;341;1219;173.57142857142858;56;181:56
73;83;386;120.0;67;152:67
73;61;353;120.0;64;152:64
76;78;50;60.0;83;113:41,7:42
78;62;158;54.41860465116279;86;113:41,7:45
81;82;675;60.0;68;26:15,186:18,6:35
81;2495;2505;288.0;35;6:35
81;383;1086;120.0;33;26:14,186:19
82;81;675;60.0;68;26:14,186:19,6:35
82;900;1185;60.0;68;26:15,186:18,6:35
83;73;386;120.0;64;152:64
83;50;604;120.0;91;100:91
83;68;531;113.75;96;113:46,7:50
83;62;353;45.63106796116505;309;128:54,113:46,152:67,100:91,7:51
83;47;487;120.0;55;128:55
84;67;251;60.0;96;81:32,93:5,269:59
84;43;1350;120.0;98;81:32,93:5,269:61
86;59;411;60.0;13;84:13
86;63;345;60.0;14;84:14
87;2216;249;60.0;14;28:14
87;2217;363;60.0;14;28:14
355;168;5151;360.0;9;231:9
355;1841;4603;180.0;35;204:13,205:21,286:1
91;118;138;9.397590361445783;83;272:35,84:13,6:35
91;103;460;60.0;83;272:34,84:14,6:35
93;2053;896;180.0;34;148:34
93;94;631;60.0;34;148:34
94;93;631;60.0;34;148:34
94;1495;1155;180.0;34;148:34
2143;729;3004;240.0;20;197:20
2143;2131;482;60.0;19;197:19
2145;25;1432;120.0;25;211:25
2145;2131;191;60.0;20;197:20
2145;2129;319;60.0;44;211:25,197:19
98;100;414;0.0;25;297:16,292:9
2147;436;376;60.0;62;192:1,131:2,199:56,127:3
2147;2148;681;60.0;63;192:1,131:3,199:57,127:2
100;2337;389;60.0;35;6:35
100;98;414;0.0;26;297:15,292:11
100;1566;163;60.0;25;297:16,292:9
100;113;672;108.0;35;6:35
101;104;409;60.0;72;272:35,310:2,6:35
101;57;228;60.0;3;310:3
101;116;301;60.0;69;272:34,6:35
102;1572;767;120.0;47;79:47
102;2461;434;60.0;107;268:61,79:46
102;111;504;53.0;60;268:60
103;113;413;60.0;83;272:34,84:14,6:35
103;91;460;60.0;83;272:35,84:13,6:35
104;2464;709;60.0;2;310:2
104;2466;294;60.0;70;272:35,6:35
104;101;409;2.5;72;272:34,310:3,6:35
2154;680;824;60.0;62;251:14,300:12,318:36
107;2548;2422;240.0;7;53:7
107;316;1386;180.0;19;283:1,53:7,206:11
107;109;451;60.0;14;283:1,206:13
109;2208;1598;180.0;14;283:1,206:13
109;107;451;60.0;12;283:1,206:11
111;102;504;60.0;61;268:61
111;119;310;113.0;60;268:60
113;64;244;42.5;48;272:34,84:14
113;100;672;108.0;35;6:35
113;103;413;60.0;83;272:35,84:13,6:35
2163;2161;574;60.0;8;53:8
116;101;301;0.0;70;272:35,6:35
116;118;387;60.0;69;272:34,6:35
118;91;138;10.120481927710843;83;272:34,84:14,6:35
118;116;387;60.0;70;272:35,6:35
118;63;158;60.0;13;84:13
2409;2306;170;59.34782608695652;92;4:51,126:41
2409;2403;350;60.0;93;4:52,126:41
120;121;268;0.0;46;113:46
120;124;380;60.0;46;113:46
121;2040;280;60.0;92;113:92
121;120;268;58.69565217391305;46;113:46
122;786;332;60.0;46;113:46
122;124;343;120.0;46;113:46
123;121;374;67.82608695652173;46;113:46
2172;385;368;60.0;192;118:61,22:66,149:65
2172;2181;268;60.0;191;118:62,22:64,149:65
2174;947;441;60.0;64;22:64
2174;2181;289;60.0;66;22:66
2175;947;409;47.27272727272727;66;22:66
2175;942;433;60.0;64;22:64
2176;890;876;60.0;19;44:19
2176;350;1252;120.0;20;58:20
2176;438;3751;360.0;19;58:19
2177;2179;271;60.0;175;126:48,118:62,149:65
2177;2181;198;31.3953488372093;172;126:46,118:61,149:65
2178;2181;178;60.0;48;126:48
2178;390;425;109.56521739130434;46;126:46
2179;2177;271;41.86046511627907;172;126:46,118:61,149:65
2179;735;118;53.85826771653543;127;149:65,118:62
2179;1801;372;120.0;48;126:48
132;155;333;118.23529411764706;34;252:1,318:33
2181;2177;198;53.82857142857143;175;126:48,118:62,149:65
2181;2178;178;10.434782608695652;46;126:46
2181;2172;268;60.0;192;118:61,22:66,149:65
2181;2174;289;60.0;64;22:64
134;1000;8329;660.0;25;242:20,236:5
134;130;459;120.0;14;251:14
134;164;1058;240.0;1;242:1
134;2070;2085;300.0;2;240:2
134;2462;1431;120.0;24;240:1,242:17,236:6
2412;2418;220;60.0;61;114:61
2186;2385;1559;120.0;10;64:10
2186;4;1638;180.0;9;64:9
23;19;228;60.0;38;302:38
23;2415;1961;180.0;37;302:37
144;155;241;60.0;35;252:2,318:33
144;164;849;98.87323943661971;71;32:14,203:23,252:1,318:33
144;159;629;32.903225806451616;31;32:14,203:17
2195;753;663;60.0;8;212:8
2195;557;3721;420.0;4;176:4
2195;765;1214;60.0;8;140:8
2195;1349;6990;660.0;37;302:37
2195;2197;493;60.0;45;140:7,302:38
2196;1162;526;60.0;38;302:38
2196;2197;373;49.333333333333336;45;212:8,302:37
